conv_id,turn_no,conv_type,speaker,text,emotion,empathy,politeness
0,0,high_001,T,hey Monica how are you doing today,,highly empathetic,highly polite
0,1,high_001,C,I'm okay right now but I'm a little anxious because thinking about how Black Friday is soon and my friends want to go to the mall for Black Friday but I really can't go and I want to go but I really to interesting,afraid,,
0,2,high_001,T,so it sounds like you really want to go to Black Friday with your friends you're feeling a little anxious about it,,non empathetic,highly polite
0,3,high_001,C,yeah Monaco but interesting but I was thinking about it and maybe if I could make an image or something that I could use while I'm there maybe I'd be able to go so I was wondering if I could give you that very well,hopeful,,
0,4,high_001,T,that sounds like a great idea can absolutely do that,,low empathetic,low polite
0,5,high_001,C,okay,angry,,
0,6,high_001,T,so we have some materials on the table but if you'd like to use anything else that we've used previously just let me know and I'll get them to you for you,,highly empathetic,highly polite
0,7,high_001,C,um do you have a Sharpie,angry,,
0,8,high_001,T,it do did you have a color that you wanted,,low empathetic,low polite
0,9,high_001,C,black maybe,afraid,,
0,10,high_001,T,all right here,,highly empathetic,impolite
0,11,high_001,C,this,angry,,
0,12,high_001,T,welcome,,highly empathetic,low polite
0,13,high_001,C,ok I think I'm done,content,,
0,14,high_001,T,all right is there anything you'd like to tell me about it,,non empathetic,highly polite
0,15,high_001,C,well I'm sure um I drew mountains and lake because when I think about things like Unicom I think of nature so I drew a scene that I think would keep me calm,confident,,
0,16,high_001,T,so it sounds like nature and mountains are coming to you do you think that this will be helpful I'm black Franny,,non empathetic,highly polite
0,17,high_001,C,yes as long as I can remember to think about this image when I'm there but maybe I'll bring it with me when I go so I can refer to it when I'm anxious,afraid,,
0,18,high_001,T,that sounds like a great idea,,highly empathetic,low polite
1,0,high_002,C,hi there I'm just here to get a refill on my insulin prescription,afraid,,
1,1,high_002,T,hi my name is Laura I'm the pharmacist let me just look you up in the computer,,highly empathetic,highly polite
1,2,high_002,C,sure,confident,,
1,3,high_002,T,your person laughing,,low empathetic,low polite
1,4,high_002,C,reset feels,confident,,
1,5,high_002,T,and your date of birth,,low empathetic,impolite
1,6,high_002,C,April 28 1962,angry,,
1,7,high_002,T,okay I see that you've filled it here before,,highly empathetic,low polite
1,8,high_002,C,mm-hmm,angry,,
1,9,high_002,T,tell me about how you're using the insulin,,non empathetic,low polite
1,10,high_002,C,okay um so usually at night I'll check my blood sugar and then if it's pretty high like about like 15 or so I'll use it that day so usually end up using it about three or four times a week,afraid,,
1,11,high_002,T,so you're testing a lot,,non empathetic,low polite
1,12,high_002,C,mm-hmm,angry,,
1,13,high_002,T,at least every day,,highly empathetic,impolite
1,14,high_002,C,yes,surprised,,
1,15,high_002,T,and then you are using the unplanned when you feel like your blood sugars are running high,,low empathetic,low polite
1,16,high_002,C,even exactly,angry,,
1,17,high_002,T,and how do you feel your implants working for that,,highly empathetic,low polite
1,18,high_002,C,I think it's good because my sugars aren't about 14 every day so it must be working it must work her maybe even a couple of days so it's pretty effective,hopeful,,
1,19,high_002,T,do you feel like you've seen some real improvements on that,,highly empathetic,low polite
1,20,high_002,C,yeah definitely,confident,,
1,21,high_002,T,okay so tell me why you're only using it when your blood sugar goes high,,non empathetic,low polite
1,22,high_002,C,oh okay yeah so I was supposed to use it everyday at first I think um which I was like the first week that I had it I started injecting everyday I don't carry about a week it's your to hurt when I was inject here so that's when I started doing it less often thinking if I kind of gave this skin a couple days to heal it wouldn't hurt as much by the next time I I gave myself the injection,hopeful,,
1,23,high_002,T,so you were experiencing some pain who knows what I'd like you to kind of use it a little left off,,highly empathetic,highly polite
1,24,high_002,C,yeah it hurts a lot when I check,angry,,
1,25,high_002,T,and you feel like that's really impacting your day,,non empathetic,low polite
1,26,high_002,C,mm-hmm I do yeah,confident,,
1,27,high_002,T,okay so sounds like you've seen some improvement your blood Sugar's have been sometimes under control what have you discuss with your doctor recently,,highly empathetic,low polite
1,28,high_002,C,um why has she haven't seen my doctor since I started the insulin so I guess I haven't told him I'm not using it every day like he wanted I hope you I hope you understand,sad,,
1,29,high_002,T,well you're here today for the refill and it seems like you're really committed to getting your blood Sugar's under control,,highly empathetic,low polite
1,30,high_002,C,mm-hmm,angry,,
1,31,high_002,T,there are some options that we could discuss about how to reduce pain when you inject,,highly empathetic,low polite
1,32,high_002,C,okay that sounds good,content,,
1,33,high_002,T,there are also some suggestions that I could make about how to keep your blood Sugar's under control best,,highly empathetic,low polite
1,34,high_002,C,okay I like below 15,angry,,
2,0,high_003,T,hi John,,highly empathetic,low polite
2,1,high_003,C,hi Justin I'm dropping off a new prescription,afraid,,
2,2,high_003,T,no problem I have this in stock but I do notice that these prescriptions from the hospital can you tell me more about that,,non empathetic,highly polite
2,3,high_003,C,yeah I was in the hospital for about ten days I had this infection where the fluids are oh I need my refills they didn't give me any new prescriptions in the hospital,angry,,
2,4,high_003,T,I did have some auto refills for you in the pharmacy unfortunately to return to stock since you weren't able to pick them up but if you give me twenty minutes I can get them all ready for you,,highly empathetic,highly polite
2,5,high_003,C,I twisted my ankle leaving the apartment this morning it's hurting real bad,angry,,
2,6,high_003,T,that's terrible John asbestos in your first day coming back from the hospital but I did want to talk to you about one thing the ibuprofen is you're holding especially with your medical condition will have a tendency to reduce blood flow to your kidneys,,non empathetic,highly polite
2,7,high_003,C,really but they told me I couldn't take Tylenol but I thought that ibuprofen would be okay at the hospital when I first got there they said my kidneys weren't doing too good but when I left they said everything was back to normal,hopeful,,
2,8,high_003,T,well if you don't mind John if we can go over to the side area and I can discuss with you further kind of see your ankle John,,non empathetic,highly polite
2,9,high_003,C,sure,confident,,
2,10,high_003,T,does look swollen does it hurt anymore mark when you move it does,,non empathetic,low polite
2,11,high_003,C,no it's the same,angry,,
2,12,high_003,T,I think the best thing for now is to get a cold pack and elevate your ankle to 45 degrees let me grab that for you real quick so this is the instant cold pack so just basically to activate it you just squeeze in place it around your ankle and elevate it to 45 degrees and the reason why I feel more comfortable with this recommendation is because you've told me about your kidney problem in the hospital I really don't feel comfortable with you're using ibuprofen and because if your liver condition the fluid is pooling in your abdomen which is restricting the blood flow to the kidney ibuprofen will further restrict blood flow to the kidney and your blood pressure medication the lisinopril there's normally a very good medication that will further reduce blood flow to the kidney and the total effect of all three of these factors will drastically reduce buffer to the kidney and the kidney failure and that's why I feel more comfortable with the cold pack recommendation and if you have further questions we can talk to your doctor,,non empathetic,highly polite
2,13,high_003,C,thanks for letting me know about this I certainly don't want to hurt my kidneys I got enough problems,grateful,,
2,14,high_003,T,that's why we're here and if you want to walk with me back to the pharmacy I can get all your prescriptions rung up for you you,,low empathetic,low polite
3,0,high_004,C,Welbeck I'm just not sure that I'm ready to quit I just I just don't think I can do this right now,afraid,,
3,1,high_004,T,so you're really not confident that you'd be successful long-term,,highly empathetic,low polite
3,2,high_004,C,yeah pretty much,angry,,
3,3,high_004,T,you know like I know quitting is really hard and it takes a lot of strength to go through that but is it the hardest thing you've ever done,,highly empathetic,low polite
3,4,high_004,C,what must be because I haven't quite yet,afraid,,
3,5,high_004,T,well in all seriousness is I know there's other hard things you've been through so if quitting really the toughest thing you've ever done,,low empathetic,low polite
3,6,high_004,C,no I'm Courtney I mean going to my divorce was difficult,sad,,
3,7,high_004,T,and you got through it,,highly empathetic,impolite
3,8,high_004,C,yeah but there was just different circumstances,grateful,,
3,9,high_004,T,it is a different type of difficulty you're right and I don't want to make light of that but what I'm the point I'm trying to make with you is that it was difficult and you rose to the challenge and you got through it,,highly empathetic,highly polite
3,10,high_004,C,yeah that's true,sad,,
3,11,high_004,T,so what I know of you is that when you're faced with a tough challenge like a divorce you rise to the occasion and you manage to get through it and you come out on top so are you ready for the challenge of quitting,,low empathetic,low polite
3,12,high_004,C,yeah you know I hear what you're saying but you know I just don't want to be a failure I don't want to let people down I don't want to let my family down and I I just don't think I'm ready,sad,,
3,13,high_004,T,well I do totally respect your decision if you really don't want to quit and you're not open to it then you know that is your choice whatever you choose to do about your smoking habit really is your choice and I do respect that so where do we go from here,,highly empathetic,highly polite
3,14,high_004,C,well I don't want to quit right now but I know that in the past cutting down has helped me,trusting,,
3,15,high_004,T,cutting down that would be a great step I mean that would be wonderful so I know you've tried before what else have you learned what other lessons have you learned from quitting I'm guessing you've learned a lot of lessons,,highly empathetic,highly polite
3,16,high_004,C,well I know in the past the nicotine gum has helped me I just didn't really care for the taste,sad,,
3,17,high_004,T,well I have some ideas on that if you'd be open to hearing them,,highly empathetic,highly polite
3,18,high_004,C,sure,confident,,
3,19,high_004,T,they've got a lot of new flavors on the gum they're cinnamon and orange and juicy fruit which is a popular one and mint and I've had a lot of people have favorable things to say about the new flavors,,non empathetic,low polite
3,20,high_004,C,that's something I didn't know that so you think you might want to try it again again in addition to cutting back,hopeful,,
3,21,high_004,T,how about if I cut back for a month and then I'll try the gum,,highly empathetic,low polite
3,22,high_004,C,I think that is an excellent idea and I think that you really will be able to do it this time,hopeful,,
3,23,high_004,T,I also,,low empathetic,low polite
4,0,high_005,T,you Rachel it hurt coming today what brings you in,,highly empathetic,low polite
4,1,high_005,C,well so I've been working with the weight management clinic and I just when I found out that this was an opportunity I thought why not use this as another resource to help me lose weight,hopeful,,
4,2,high_005,T,and why why do you want to lose weight,,highly empathetic,low polite
4,3,high_005,C,well so really recently actually my older sister has had a lot of health concerns relate to her weight and it just sort of jostled me a little bit because we're so similar,afraid,,
4,4,high_005,T,really related to your sister,,highly empathetic,impolite
4,5,high_005,C,yeah so I've been this weight for a while but like now I feel like this is really the time for me to start making some changes,hopeful,,
4,6,high_005,T,what kind of problems sister experience,,highly empathetic,impolite
4,7,high_005,C,well so she has some high cholesterol and high blood pressure and I guess those are things that were running my family but I'm really worried because my grandmother has suffered from a stroke and I definitely don't want to do that,afraid,,
4,8,high_005,T,there's big change gears to get healthy,,highly empathetic,low polite
4,9,high_005,C,yeah I mean another birthday rolled around and I just realized that I'm not getting any younger thank you thank you but yeah so there's some pressure there too,afraid,,
4,10,high_005,T,so there's been some big things going on your life that's really prompted your push for weight loss so I just want to check it really quick and so on a scale of one to ten with one being really super important and have to do it starting today where are you in turn taken away,,non empathetic,highly polite
4,11,high_005,C,oh I would definitely say a ten,confident,,
4,12,high_005,T,okay,,non empathetic,low polite
4,13,high_005,C,we want right now for me is really really important,hopeful,,
4,14,high_005,T,and what puts you out of 10,,non empathetic,impolite
4,15,high_005,C,just kind of all these reminders in the last year and then I'm getting a little bit older all of those things together make it a 10,afraid,,
4,16,high_005,T,okay bad idea on in that same scale with one being not confident at all to 10 being super super confident where would you say your are in terms of your confidence to actually lose the way,,low empathetic,highly polite
4,17,high_005,C,Oh honestly I would probably say that I'm like a five or six with confidence,confident,,
