conv_id,turn_no,speaker,utterance,emotion,empathy,politeness
0,0,counselor,"Greetings , this is rakshak to help you in secure environment . How may i help you ?  ",,highly empathetic,highly polite
0,1,victim,Three masked men threw acid on my wife last Friday .,angry,,
0,2,counselor,"So disgusting , May i know to whom i am talking with ?   ",,non empathetic,highly polite
0,3,victim,I am Arun Sinha . I want those monsters men to get punished as soon as possible .,hopeful,,
0,4,counselor,"Ok , Arun sinha , please share me the incident date , place and location ? ",,non empathetic,low polite
0,5,victim,"The incident took place on 30.11.2020 at Panipat , Haryana . ",afraid,,
0,6,counselor,"Ok , Have you made any police complain ? ",,low empathetic,low polite
0,7,victim,"Local police has filed a case but they are not taking it seriously . It's like day-to-day activity for them , dirty people .  ",angry,,
0,8,counselor,"Ok , you can have the following assistance in such situation : DCP , Police Complain , Legal Support , NGOs Help , Online Complain Help , Fast Track Court .   ",,non empathetic,low polite
0,9,victim,How can I make contact with DCP ?,afraid,,
0,10,counselor,"We are providing the detail address and mobile no for your assistance . DCP R Raghvan , Meena bazar , Panipath , Haryana 254828 . Mobile No. 85478##### .  ",,non empathetic,low polite
0,11,victim,Thank you Rakshak for this help . I am really distressed . I hope this will work out and my wife will get the justice .,hopeful,,
0,12,counselor,Do you need some other help ?,,non empathetic,low polite
0,13,victim,How far is the DCP office from my location ?,afraid,,
0,14,counselor,Its 6 km away from your current location .,,non empathetic,impolite
0,15,victim,Thank you so much Rakshak . Bye .,grateful,,
0,16,counselor,Do you need some other help ?,,non empathetic,low polite
0,17,victim,"No , thanks .  ",sad,,
0,18,counselor,"Ok , Take Care . Have a nice day .  ",,low empathetic,low polite
1,0,counselor,"Hi this is Rakshak , a bot to help you in secure environment . ",,low empathetic,highly polite
1,1,victim,I am going insane . I don't understand where to go and whom to ask for help .,afraid,,
1,2,counselor,"Kindly don't panic , you will surely be helped . May i know to whom i am talking with ? ",,highly empathetic,highly polite
1,3,victim,I can't reveal my identity .,trusting,,
1,4,counselor,"Hi Diya (nick_name) , Please share me your problem in detail to assist you better ? ",,non empathetic,highly polite
1,5,victim,"Yesterday when I was going with my nephew to market , 6 men gang-raped me and also forced my nephew to do so . They have filmed the incident and posted online . ",angry,,
1,6,counselor,Its disgusting . Have you complained about this ?,,non empathetic,low polite
1,7,victim,I don't know where to go . Who can help me ?,afraid,,
1,8,counselor,"We are here to help you . You may go for following assistance : Police Complain , Women Support Group , NGOs Help , Medical Support , SIUCAW Help .  ",,highly empathetic,highly polite
1,9,victim,I want to report to police against these monsters .,afraid,,
1,10,counselor,"Ok sure , would you go for online/offline complain ? ",,low empathetic,highly polite
1,11,victim,How can I file online complain ?,angry,,
1,12,counselor,You will be given an online form to fill and submit . You will receive an acknowledgement within 24 hours .,,highly empathetic,low polite
1,13,victim,Ok please help me with this option .,hopeful,,
1,14,counselor,"Sure , could you please share me your state location ? ",,highly empathetic,highly polite
1,15,victim,I live in Jharkhand .,content,,
1,16,counselor,Ok thanks for location . Here is the link : www.jhpoliceonline.gov.in .,,highly empathetic,highly polite
1,17,victim,Thanks for the help .,grateful,,
1,18,counselor,Do you need some other help ?,,non empathetic,low polite
1,19,victim,"No , thanks . ",sad,,
1,20,counselor,Ok take care . Have a great day !,,low empathetic,highly polite
2,0,counselor,"Hi this is Rakshak , a bot to help you in secure environment . ",,low empathetic,highly polite
2,1,victim,I am going insane . I don't understand where to go and whom to ask for help .,afraid,,
2,2,counselor,"Kindly don't panic , you will surely be helped . May i know to whom i am talking with ? ",,highly empathetic,highly polite
2,3,victim,I can't reveal my identity .,trusting,,
2,4,counselor,"Hi Diya (nick_name) , Please share me your problem in detail to assist you better ? ",,non empathetic,highly polite
2,5,victim,"Yesterday when I was going with my nephew to market , 6 men gang-raped me and also forced my nephew to do so . They have filmed the incident and posted online . ",angry,,
2,6,counselor,Its disgusting . Have you complained about this ?,,non empathetic,low polite
2,7,victim,I don't know where to go . Who can help me ?,afraid,,
2,8,counselor,"We are here to help you . You may go for following assistance : Police Complain , Women Support Group , NGOs Help , Medical Support , SIUCAW Help .  ",,highly empathetic,highly polite
2,9,victim,I need some medical assistance for myself .,afraid,,
2,10,counselor,"Sure , could you please share me your location for immediate service ? ",,non empathetic,highly polite
2,11,victim,"I live in HEC Colony , Hatia , Jharkhand . ",content,,
2,12,counselor,"Ok thanks for location . Here the details : Jeevan Deep Hospital , Dr. manisha Singh 98578##### .  ",,highly empathetic,highly polite
2,13,victim,Thanks for the information .,grateful,,
2,14,counselor,Do you need some other assistance ?,,non empathetic,low polite
2,15,victim,Can you please tell me how far it is from my location ?,afraid,,
2,16,counselor,"Yes , its 2.8 km away from your location . ",,non empathetic,low polite
2,17,victim,Thanks for the details .,grateful,,
2,18,counselor,Do you need some other assistance ?,,non empathetic,low polite
2,19,victim,"Nope , Bye .  ",sad,,
2,20,counselor,Ok take care . Have a great day .,,low empathetic,highly polite
3,0,counselor,"Hi this is Rakshak , a bot to help you in secure environment . ",,low empathetic,highly polite
3,1,victim,I am going insane . I don't understand where to go and whom to ask for help .,afraid,,
3,2,counselor,"Kindly don't panic , you will surely be helped . May i know to whom i am talking with ? ",,highly empathetic,highly polite
3,3,victim,I can't reveal my identity .,trusting,,
3,4,counselor,"Hi Diya (nick_name) , Please share me your problem in detail to assist you better ? ",,non empathetic,highly polite
3,5,victim,"Yesterday when I was going with my nephew to market , 6 men gang-raped me and also forced my nephew to do so . They have filmed the incident and posted online . ",angry,,
3,6,counselor,Its disgusting . Have you complained about this ?,,non empathetic,low polite
3,7,victim,I don't know where to go . Who can help me ?,afraid,,
3,8,counselor,"We are here to help you . You may go for following assistance : Police Complain , Women Support Group , NGOs Help , Medical Support , SIUCAW Help .  ",,highly empathetic,highly polite
3,9,victim,Can you provide me contacts of few Women Support Group ?,hopeful,,
3,10,counselor,"Ok sure , Please share me your location . ",,non empathetic,low polite
3,11,victim,"I live in Lalpur , Ranchi . ",content,,
3,12,counselor,"Ok thanks for your location . Here is the details . Mahila Morcha , Lalpur , Ranchi , Jharkhand , Seema Negi 98547##### .  ",,highly empathetic,highly polite
3,13,victim,Thanks for the information .,grateful,,
3,14,counselor,Do you need some other help ?,,non empathetic,low polite
3,15,victim,Is there any other Support Group near my area whom I can contact ?,afraid,,
3,16,counselor,"Yes , Here is the details : Naari Shakti , Parimarpur , Ranchi , Jharkhand , Nikita Das 95878##### .  ",,non empathetic,low polite
3,17,victim,Thanks for this help .,grateful,,
3,18,counselor,Do you need some other help ?,,non empathetic,low polite
3,19,victim,Nope .,sad,,
3,20,counselor,Ok take care . Have a great day .,,low empathetic,highly polite
4,0,counselor,"Hi this is Rakshak , a bot to help you in secure environment . ",,low empathetic,highly polite
4,1,victim,I am going insane . I don't understand where to go and whom to ask for help .,afraid,,
4,2,counselor,"Kindly don't panic , you will surely be helped . May i know to whom i am talking with ? ",,highly empathetic,highly polite
4,3,victim,I can't reveal my identity .,trusting,,
4,4,counselor,"Hi Diya (nick_name) , Please share me your problem in detail to assist you better ? ",,non empathetic,highly polite
4,5,victim,"Yesterday when I was going with my nephew to market , 6 men gang-raped me and also forced my nephew to do so . They have filmed the incident and posted online . ",angry,,
4,6,counselor,Its disgusting . Have you complained about this ?,,non empathetic,low polite
4,7,victim,I don't know where to go . Who can help me ?,afraid,,
4,8,counselor,"We are here to help you . You may go for following assistance : Police Complain , Women Support Group , NGOs Help , Medical Support , SIUCAW Help .  ",,highly empathetic,highly polite
4,9,victim,I want to go for SIUCAW Help .,hopeful,,
4,10,counselor,"Ok sure , Please share me your state location . ",,non empathetic,low polite
4,11,victim,"I live near Hinoo Chowk , Hatia - 828305 ",content,,
4,12,counselor,Ok thanks for location . Here is the link for online complain : www.hatiyasiucaw.gov.in .,,highly empathetic,highly polite
4,13,victim,Thanks for the help .,grateful,,
4,14,counselor,Do you need some other help ?,,non empathetic,low polite
4,15,victim,"No , thanks .  ",sad,,
4,16,counselor,Ok take care . Have a great day .,,low empathetic,highly polite
5,0,counselor,"Hi this is Rakshak , a bot to help you in secure environment . ",,low empathetic,highly polite
5,1,victim,I am going insane . I don't understand where to go and whom to ask for help .,afraid,,
5,2,counselor,"Kindly don't panic , you will surely be helped . May i know to whom i am talking with ? ",,highly empathetic,highly polite
5,3,victim,I can't reveal my identity .,trusting,,
5,4,counselor,"Hi Diya (nick_name) , Please share me your problem in detail to assist you better ? ",,non empathetic,highly polite
5,5,victim,"Yesterday when I was going with my nephew to market , 6 men gang-raped me and also forced my nephew to do so . They have filmed the incident and posted online . ",angry,,
5,6,counselor,Its disgusting . Have you complained about this ?,,non empathetic,low polite
5,7,victim,I don't know where to go . Who can help me ?,afraid,,
5,8,counselor,"We are here to help you . You may go for following assistance : Police Complain , Women Support Group , NGOs Help , Medical Support , SIUCAW Help .  ",,highly empathetic,highly polite
5,9,victim,I want to report to police against these monsters .,afraid,,
5,10,counselor,"Ok sure , would you go for online/offline complain ? ",,low empathetic,highly polite
5,11,victim,I want to file offline police complain .,afraid,,
5,12,counselor,"Ok sure ,  Please share me your current state location ?   ",,non empathetic,low polite
5,13,victim,"I live in Ranchi , Jharkhand - 823205 .  ",content,,
5,14,counselor,Can you please be more precise about your location detail ?,,non empathetic,highly polite
5,15,victim,"I live in Lohardaga , Ranchi ",content,,
5,16,counselor,Ok thanks for detail . Here is the details of police : Lohardaga Police Station Paramveer Singh 98588##### .,,highly empathetic,highly polite
5,17,victim,Thanks for the information .,grateful,,
5,18,counselor,Do you need some help ?,,non empathetic,low polite
5,19,victim,"No , thanks . ",sad,,
5,20,counselor,Ok take care . Have a great day .,,low empathetic,highly polite
6,0,counselor,"Greetings , this is Rakshak a bot to help you in secure environment . ",,low empathetic,highly polite
6,1,victim,"Hello Rakshak , I am looking for help for my daughter .   ",hopeful,,
6,2,counselor,"Ok sure , May i know to whom i am interacting with ? ",,non empathetic,low polite
6,3,victim,"I am Supriya Singh , 32 years old . ",confident,,
6,4,counselor,"Hi Supriya , please share me your problem in detail ?  ",,non empathetic,highly polite
